Winner,Year
Peter Bonetti,1967
Charlie Cooke,1968
David Webb,1969
John Hollins,1970
John Hollins ,1971
David Webb ,1972
Peter Osgood,1973
Gary Locke,1974
Charlie Cooke ,1975
Ray Wilkins,1976
Ray Wilkins ,1977
Micky Droy,1978
Tommy Langley,1979
Clive Walker,1980
Petar Borota,1981
Mike Fillery,1982
Joey Jones,1983
Pat Nevin,1984
David Speedie,1985
Eddie Niedzwiecki,1986
Pat Nevin ,1987
Tony Dorigo,1988
Graham Roberts,1989
Ken Monkou,1990
Andy Townsend,1991
Paul Elliott,1992
Frank Sinclair,1993
Steve Clarke,1994
Erland Johnsen,1995
Ruud Gullit,1996
Mark Hughes,1997
Dennis Wise,1998
Gianfranco Zola,1999
Dennis Wise ,2000
John Terry,2001
Carlo Cudicini,2002
Gianfranco Zola ,2003
Frank Lampard,2004
Frank Lampard ,2005
John Terry ,2006
Michael Essien,2007
Joe Cole,2008
Frank Lampard ,2009
Didier Drogba,2010
Petr Čech,2011
Juan Mata,2012
Juan Mata ,2013
Eden Hazard,2014
Eden Hazard ,2015
Willian,2016
Eden Hazard ,2017
N'Golo Kanté,2018
Eden Hazard ,2019
Mateo Kovačić,2020
Mason Mount,2021
