Player,Nationality,Position,Career ,Appearances,Goals
Tommy Miller,Scotland,DF,1905–1909,120,0
Martin Moran,Scotland,FW,1905–1908,67,7
Billy Bridgeman,England,DF,1906–1914,159,0
George Hilsdon,England,ST,1906–1912,164,108
Jock Cameron,Scotland,HB,1907–1913,194,0
Ben Warren,England,HB,1908–1914,101,4
Angus Douglas,Scotland,W,1908–1913,103,10
Vivian Woodward,England,FW,1909–1915,116,34
Samuel Downing,England,HB,1909–1914,145,10
Alec Ormiston,Scotland,HB,1909–1914,103,1
Bob Whittingham,England,ST,1910–1919,129,84
Walter Bettridge,England,HB,1909–1922,254,0
Fred Taylor,England,HB,1909–1915,171,4
Charlie Freeman,England,FW,1909–1920,104,22
Jim Molyneux,England,GK,1910–1923,239,0
Jack Harrow,England,DF,1911–1926,334,5
Harry Ford,England,W,1912–1923,248,47
Harold Halse,England,CB,1913–1921,111,24
Tommy Logan,Scotland,DF,1913–1920,116,8
Nils Middelboe[a],Denmark,HB,1913–1922,46,1
Bob McNeil,Scotland,FW,1914–1929,306,32
Jack Cock,England,ST,1919–1923,111,54
Harry Wilding,England,CB,1914–1928,265,26
Tommy Meehan,England,HB,1920–1924,133,6
George W. Smith,Scotland,FB,1921–1932,370,0
John Priestley,Scotland,HB,1921–1928,204,19
Albert Thain,England,FW,1922–1930,153,51
Andy Wilson,Scotland,FW,1923–1931,253,62
Jackie Crawford,England,W,1923–1934,308,28
Harold Miller,England,FW,1923–1939,365,45
Willie Ferguson,Scotland,W,1923–1933,294,11
Leslie Odell,England,DF,1924–1936,103,7
Tommy Law,Scotland,FB,1925–1939,318,19
George Rodgers,Scotland,DF,1925–1931,122,2
Sam Millington,England,GK,1926–1932,245,0
George Pearson,England,FW,1926–1933,215,37
Willie Russell,Scotland,HB,1927–1935,160,6
Jack Townrow,England,DF,1927–1931,140,3
Sid Bishop,England,HB,1928–1933,109,6
George Mills,England,ST,1929–1943,239,125
Hughie Gallacher,Scotland,ST,1930–1934,144,81
George Barber,England,DF,1930–1941,294,1
Vic Woodley,England,GK,1931–1939,272,0
Len Allum,England,DF,1932–1939,102,2
Jimmy Argue,Scotland,FW,1933–1947,125,35
George Gibson,Scotland,FW,1933–1938,143,24
Allan Craig,Scotland,DF,1933–1939,211,0
Dick Spence,England,W,1934–1950,246,66
Billy Mitchell,Ireland,HB,1934–1939,118,3
Harry Burgess,England,FW,1935–1945,155,37
Sam Weaver,England,HB,1936–1945,125,4
Len Goulden,England,FW,1945–1950,111,19
John Harris,Scotland,CB,1945–1956,364,14
Tommy Walker,Scotland,FW,1946–1948,105,24
Sydney Bathgate,Scotland,DF,1946–1953,147,0
Ken Armstrong,England,HB,1946–1957,402,30
Bill Robertson,Scotland,GK,1946–1960,215,0
Bobby Campbell,Scotland,W,1947–1954,213,40
Roy Bentley,England,ST,1948–1956,367,150
Stan Willemse,England,LB,1949–1956,221,2
Eric Parsons,England,W,1950–1956,177,42
Les Stubbs,England,FW,123,35,0
John McNichol,Scotland,FW,1952–1958,202,66
Derek Saunders,England,HB,1953–1959,223,9
Ron Tindall,England,ST,1953–1961,174,69
Peter Sillett,England,RB,1953–1962,288,34
Frank Blunstone,England,W,1953–1964,347,54
John Sillett,England,FB,1954–1962,102,1
Peter Brabrook,England,FW,1955–1962,271,57
John Mortimore,England,MF,1956–1965,279,10
Jimmy Greaves,England,ST,1957–1961,169,132
Ken Shellito,England,RB,1957–1969,123,2
Barry Bridges,England,FW,1958–1966,205,93
Bobby Tambling,England,FW,1959–1970,370,202
Peter Bonetti,England,GK,1959–1979,729,0
Allan Harris,England,LB,1960–1964,102,1
Allan Harris,England,LB,1966–1967,102,1
Terry Venables,England,MF,1960–1966,237,31
Bert Murray,England,FW,1961–1966,183,44
Ron Harris,England,DF,1961–1980,795,14
Eddie McCreadie,Scotland,LB,1962–1974,410,5
Peter Houseman,England,MF,1962–1975,343,39
Marvin Hinton,England,CB,1963–1976,344,4
George Graham,Scotland,FW,1964–1966,102,46
John Boyle,Scotland,MF,1964–1973,266,12
Peter Osgood,England,ST,1964–1974,380,150
John Hollins,England,MF,1963–1975,592,64
Charlie Cooke,Scotland,W,1966–1972,373,30
Tommy Baldwin,England,MF,1966–1974,239,91
Alan Hudson,England,MF,1968–1974,189,14
David Webb,England,CB,1968–1974,299,34
Ian Hutchinson,England,ST,1968–1976,144,58
John Dempsey,Republic of Ireland,CB,1969–1978,207,7
John Phillips,Wales,GK,1970–1980,149,0
Micky Droy,England,CB,1970–1985,313,19
Ian Britton,Scotland,MF,1971–1982,289,34
Chris Garland,England,MF,1971–1975,114,31
Steve Kember,England,MF,1971–1975,150,15
Gary Stanley,England,MF,1971–1979,120,15
Bill Garner,England,ST,1972–1978,119,36
Gary Locke,England,RB,1971–1983,317,4
Kenny Swain,England,MF,1973–1978,132,29
Steve Wicks,England,CB,1974–1979,164,9
Ray Wilkins,England,MF,1972–1979,198,33
David Hay,Scotland,MF,1974–1980,120,3
Tommy Langley,England,ST,1974–1980,152,43
Clive Walker,England,W,1975–1984,224,65
John Bumstead,England,MF,1976–1991,409,44
Mike Fillery,England,W,1978–1983,181,41
Petar Borota,Yugoslavia,GK,1979–1982,114,0
Gary Chivers,England,CB,1978–1983,148,4
Peter Rhoades-Brown,England,W,1979–1984,109,5
Colin Pates,England,CB,1979–1988,346,10
Chris Hutchings,England,LB,1980–1983,101,3
Colin Lee,England,ST,1980–1987,223,41
Paul Canoville,England,W,1981–1986,103,15
David Speedie,Scotland,ST,1982–1987,205,64
Nigel Spackman,England,MF,1983–1987,267,14
Eddie Niedzwiecki,Wales,GK,1983–1988,175,0
Pat Nevin,Scotland,W,1983–1988,242,45
Joe McLaughlin,Scotland,CB,1983–1989,268,7
Kerry Dixon,England,ST,1983–1992,420,193
Micky Hazard,England,MF,1985–1990,103,12
Gordon Durie,Scotland,ST,1986–1991,153,63
Tony Dorigo,England,LB,1987–1991,180,12
Kevin Wilson,Northern Ireland,FW,1987–1992,191,55
Graeme Le Saux,England,LB,1987–1993,312,16
Steve Clarke,Scotland,RB,1987–1998,421,10
David Lee,England,CB,1988–1998,194,13
Kevin Hitchcock,England,GK,1988–2001,135,0
Ken Monkou,Suriname,CB,1989–1992,119,2
Dave Beasant,England,GK,1989–1993,157,0
Craig Burley,Scotland,MF,1989–1997,137,11
Erland Johnsen,Norway,CB,1989–1997,183,1
Andy Townsend,Republic of Ireland,MF,1990–1993,138,19
Frank Sinclair,Jamaica,CB,1990–1998,218,13
Eddie Newton,England,MF,1990–1999,214,10
Dennis Wise,England,MF,1990–2001,445,76
Andy Myers,England,LB,1991–1999,106,2
John Spencer,Scotland,ST,1992–1996,137,43
Dmitri Kharine,Russia,GK,1992–1999,146,0
Gavin Peacock,England,MF,1993–1996,134,27
Michael Duberry,England,CB,1993–1999,115,3
Mark Hughes,Wales,ST,1995–1998,123,39
Dan Petrescu,Romania,RB,1995–2000,208,24
Jody Morris,England,MF,1995–2003,173,9
Gianluca Vialli[b],Italy,ST,1996–1999,88,40
Frank Leboeuf,France,CB,1996–2001,204,24
Roberto Di Matteo,Italy,MF,1996–2002,175,26
Gianfranco Zola,Italy,FW,1996–2003,311,80
Tore André Flo,Norway,ST,1997–2000,163,50
Gustavo Poyet,Uruguay,MF,1997–2001,145,49
Ed de Goey,Netherlands,GK,1997–2003,179,0
Celestine Babayaro,Nigeria,LB,1997–2005,197,8
John Terry,England,CB,1998–2017,717,67
Albert Ferrer,Spain,RB,1998–2003,113,1
Marcel Desailly,France,CB,1998–2004,222,7
Mario Melchiot,Netherlands,RB,1999–2004,165,5
Carlo Cudicini,Italy,GK,1999–2009,216,0
Jesper Grønkjær,Denmark,W,2000–2004,119,11
Jimmy Floyd Hasselbaink,Netherlands,ST,2000–2004,177,87
Eiður Guðjohnsen,Iceland,ST,2000–2006,263,78
William Gallas,France,DF,2001–2006,225,14
Frank Lampard,England,MF,2001–2014,648,211
Damien Duff,Republic of Ireland,W,2003–2006,125,19
Geremi,Cameroon,MF,2003–2007,109,4
Claude Makélélé,France,CDM,2003–2008,217,2
Wayne Bridge,England,LB,2003–2009,142,4
Joe Cole,England,MF,2003–2010,282,39
Arjen Robben,Netherlands,W,2004–2007,106,19
Ricardo Carvalho,Portugal,CB,2004–2010,210,11
Didier Drogba,Ivory Coast,ST,2004–2012,381,164
Paulo Ferreira,Portugal,RB,2004–2013,214,2
Petr Čech,Czech Republic,GK,2004–2015,494,0
Shaun Wright-Phillips,England,W,2005–2008,125,10
Michael Essien,Ghana,MF,2005–2014,256,25
Michael Ballack,Germany,MF,2006–2010,166,25
Salomon Kalou,Ivory Coast,FW,2006–2012,254,61
Ashley Cole,England,LB,2006–2014,338,7
Mikel John Obi,Nigeria,MF,2006–2017,372,6
Alex,Brazil,CB,2007–2012,134,11
Florent Malouda,France,LW,2007–2013,228,45
José Bosingwa,Portugal,RB,2008–2012,125,3
Nicolas Anelka,France,FW,2008–2012,184,59
Branislav Ivanović,Serbia,DF,2008–2017,377,34
Nemanja Matić,Serbia,MF,2009–2011,154,7
Fernando Torres,Spain,ST,2010–2014,172,45
Ramires,Brazil,MF,2010–2016,246,33
Juan Mata,Spain,MF,2011–2014,135,33
Thibaut Courtois,Belgium,GK,2011–2018,154,0
David Luiz,Brazil,CB,2011–2014,248,18
Oscar,Brazil,MF,2012–2016,203,38
Gary Cahill,England,CB,2012–2019,290,25
Eden Hazard,Belgium,W,2012–2019,352,110
César Azpilicueta,Spain,DF,2012–,460,15
Victor Moses,Nigeria,RWB,2012–2021,128,18
Andreas Christensen,Denmark,CB,2013–,153,2
Willian,Brazil,W,2013–2020,339,63
Diego Costa,Spain,ST,2014–2017,120,59
Cesc Fàbregas,Spain,MF,2014–2019,198,22
Ruben Loftus-Cheek,England,MF,2014–,103,12
Kurt Zouma,France,CB,2014–2021,151,10
Pedro,Spain,W,2015–2020,206,43
N'Golo Kanté,France,MF,2016–,244,13
Marcos Alonso,Spain,LWB,2016–,199,26
Antonio Rüdiger,Germany,CB,2017–,186,10
Jorginho,Italy,MF,2018–,174,26
Mateo Kovačić,Croatia,MF,2018–,169,4
Olivier Giroud,France,FW,2018–2021,119,39
Mason Mount,England,MF,2017–,142,24
Kepa Arrizabalaga,Spain,GK,2018–,123,0
Callum Hudson-Odoi,England,W,2017–,118,15
Reece James,England,RB,2018–,108,8
Christian Pulisic,United States,W,2019–,100,21
